fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
1188,April,Rp1,Net,NM,F,NRF,65.49,53.62,NA,NA,NA,2.897,NA,NA,NA,NA,NA,NA,NA,Riprap
1189,April,Rp1,Net,NM,F,NRF,74.48,60.81,NA,NA,NA,3.937,NA,NA,NA,NA,NA,NA,NA,Riprap
1190,April,Rp1,Net,NM,F,NRF,71.72,58.22,NA,NA,NA,3.647,NA,NA,NA,NA,NA,NA,NA,Riprap
1191,April,Rp1,Net,NM,F,NRF,68.95,57.44,NA,NA,NA,3.353,NA,NA,NA,NA,NA,NA,NA,Riprap
1192,April,Rp1,Net,NM,F,NRF,71.31,58.14,NA,NA,NA,3.759,NA,NA,NA,NA,NA,NA,NA,Riprap
1193,April,Rp1,Net,NM,F,NRF,73.27,60.31,NA,NA,NA,3.865,NA,NA,NA,NA,NA,NA,NA,Riprap
1194,April,Rp1,Net,NM,F,NRF,72.21,59.7,NA,NA,NA,3.892,NA,NA,NA,NA,NA,NA,NA,Riprap
1195,April,Rp1,Net,NM,F,NRF,69.02,56.41,NA,NA,NA,2.952,NA,NA,NA,NA,NA,NA,NA,Riprap
1196,April,Rp1,Net,NM,F,NRF,73.48,59.24,NA,NA,NA,4.046,NA,NA,NA,NA,NA,NA,NA,Riprap
1197,April,Rp1,Net,NM,F,NRF,70.64,57.43,NA,NA,NA,3.573,NA,NA,NA,NA,NA,NA,NA,Riprap
1198,April,Rp1,Net,NM,F,NRF,64.16,51.84,NA,NA,NA,2.746,NA,NA,NA,NA,NA,NA,NA,Riprap
1199,April,Rp1,Net,NM,F,NRF,78.61,64.2,NA,NA,NA,4.947,NA,NA,NA,NA,NA,NA,NA,Riprap
1200,April,Rp1,Net,NM,F,NRF,75.94,62.91,NA,NA,NA,4.998,NA,NA,NA,NA,NA,NA,NA,Riprap
1201,April,Rp1,Net,NM,F,NRF,77.81,64.89,NA,NA,NA,5.532,NA,NA,NA,NA,NA,NA,NA,Riprap
1202,April,Rp1,Net,NM,F,NRF,77.36,63.48,NA,NA,NA,4.595,NA,NA,NA,NA,NA,NA,NA,Riprap
1203,April,Rp1,Net,NM,F,NRF,70.67,57.34,NA,NA,NA,3.629,NA,NA,NA,NA,NA,NA,NA,Riprap
1204,April,Rp1,Net,NM,M,NRM,107.91,91.02,NA,NA,NA,13.427,NA,NA,NA,NA,NA,NA,NA,Riprap
1205,April,Rp1,Net,NM,M,NRM,83.83,69.4,NA,NA,NA,6.168,NA,NA,NA,NA,NA,NA,NA,Riprap
